Date,Price
2010-03-08,331.625
2010-03-09,331.256012
2010-03-10,334.362
2010-03-11,333.125
2010-03-12,337.487
2010-03-15,331.799988
2010-03-16,337.5
2010-03-17,341.875
2010-03-18,342.5
2010-03-19,347.513
2010-03-22,344.013
2010-03-23,346.256012
2010-03-25,346.375
2010-03-26,352
2010-03-29,344.75
2010-03-30,339.375
2010-03-31,331.737
2010-04-01,327.524994
2010-04-05,334.875
2010-04-06,335.25
2010-04-07,331.944
2010-04-08,330
2010-04-09,333.75
2010-04-12,335.737
2010-04-13,336.25
2010-04-15,348.5
2010-04-16,349.013
2010-04-19,346.830994
2010-04-20,345.687988
2010-04-21,342.875
2010-04-22,338.5
2010-04-23,341.875
2010-04-26,341.263
2010-04-27,341.138
2010-04-28,338.763
2010-04-29,337.375
2010-04-30,339
2010-05-03,338.5
2010-05-04,338.125
2010-05-05,331.174988
2010-05-06,336.287994
2010-05-07,329.763
2010-05-10,327.5
2010-05-11,333.725006
2010-05-12,332
2010-05-13,335.5
2010-05-14,338.75
2010-05-17,329.375
2010-05-18,332.5
2010-05-19,328.25
2010-05-20,326.5
2010-05-21,321
2010-05-24,326.375
2010-05-25,323.355988
2010-05-26,320.631012
2010-05-27,328.475006
2010-05-28,333.756012
2010-05-31,341.875
2010-06-01,331.875
2010-06-02,329.375
2010-06-03,332.5
2010-06-04,337.25
2010-06-07,338.75
2010-06-08,333.955994
2010-06-09,333.5
2010-06-10,328.149994
2010-06-11,333.112
2010-06-14,331.263
2010-06-15,343.312012
2010-06-16,344.362
2010-06-17,347
2010-06-18,338.480988
2010-06-21,349.924988
2010-06-22,348.75
2010-06-23,343.388
2010-06-24,351.799988
2010-06-25,351.25
2010-06-28,346.25
2010-06-29,349.131012
2010-06-30,347.25
2010-07-01,348.875
2010-07-02,346.868988
2010-07-05,341.25
2010-07-06,342.875
2010-07-07,349.950012
2010-07-08,350.75
2010-07-09,354.763
2010-07-12,356.256012
2010-07-13,358.75
2010-07-14,348.743988
2010-07-15,343.618988
2010-07-16,344.375
2010-07-19,343.625
2010-07-20,346.306
2010-07-21,345.912994
2010-07-22,345.593994
2010-07-23,348.375
2010-07-26,348.75
2010-07-27,350.375
2010-07-28,353.625
2010-07-29,353.100006
2010-07-30,351.875
2010-08-02,350
2010-08-03,350.625
2010-08-04,348.75
2010-08-05,360
2010-08-06,357.625
2010-08-09,356.062012
2010-08-10,358.75
2010-08-11,354.25
2010-08-12,349.5
2010-08-13,346.875
2010-08-16,345
2010-08-17,344.375
2010-08-18,345.638
2010-08-19,351.875
2010-08-20,350.375
2010-08-23,346.5
2010-08-24,348.625
2010-08-25,345.25
2010-08-26,346.875
2010-08-27,344.75
2010-08-30,339.919006
2010-08-31,335.625
2010-09-01,339.230988
2010-09-02,349.875
2010-09-03,345.138
2010-09-06,348.281006
