Date,Price
2010-03-08,271.25
2010-03-09,280.5
2010-03-10,280
2010-03-11,278.075012
2010-03-12,281.25
2010-03-15,285
2010-03-16,276
2010-03-17,281.25
2010-03-18,280.875
2010-03-19,268.774994
2010-03-22,266.25
2010-03-23,263.75
2010-03-25,262.399994
2010-03-26,267
2010-03-29,273.100006
2010-03-30,279
2010-03-31,278.450012
2010-04-01,276
2010-04-05,268.5
2010-04-06,275.524994
2010-04-07,269.100006
2010-04-08,268
2010-04-09,263.5
2010-04-12,238.175003
2010-04-13,260
2010-04-15,259
2010-04-16,255.5
2010-04-19,247.5
2010-04-20,256
2010-04-21,258
2010-04-22,254.5
2010-04-23,255
2010-04-26,262.5
2010-04-27,265
2010-04-28,263
2010-04-29,264.5
2010-04-30,262.549988
2010-05-03,262.5
2010-05-04,265
2010-05-05,255.050003
2010-05-06,259
2010-05-07,255
2010-05-10,267.25
2010-05-11,278.5
2010-05-12,281.25
2010-05-13,276.950012
2010-05-14,281.450012
2010-05-17,276
2010-05-18,278.024994
2010-05-19,277.5
2010-05-20,266
2010-05-21,255
2010-05-24,287.5
2010-05-25,260.549988
2010-05-26,265
2010-05-27,260.024994
2010-05-28,267.899994
2010-05-31,277.5
2010-06-01,286
2010-06-02,283.700012
2010-06-03,292.5
2010-06-04,293.5
2010-06-07,286.475006
2010-06-08,290
2010-06-09,287.399994
2010-06-10,290
2010-06-11,299.975006
2010-06-14,303
2010-06-15,309
2010-06-16,305.5
2010-06-17,312.5
2010-06-18,316.75
2010-06-21,313.5
2010-06-22,318.5
2010-06-23,315
2010-06-24,316
2010-06-25,310
2010-06-28,305
2010-06-29,311
2010-06-30,304.5
2010-07-01,312.5
2010-07-02,309.450012
2010-07-05,301
2010-07-06,305.125
2010-07-07,314.975006
2010-07-08,311.375
2010-07-09,312.600006
2010-07-12,321
2010-07-13,320
2010-07-14,314
2010-07-15,310
2010-07-16,307.75
2010-07-19,302.5
2010-07-20,305.25
2010-07-21,303
2010-07-22,309.25
2010-07-23,316
2010-07-26,310
2010-07-27,312.5
2010-07-28,320.625
2010-07-29,323
2010-07-30,320.5
2010-08-02,334.024994
2010-08-03,332
2010-08-04,325.549988
2010-08-05,329.899994
2010-08-06,321.5
2010-08-09,328.850006
2010-08-10,325
2010-08-11,322.5
2010-08-12,310
2010-08-13,318.225006
2010-08-16,314
2010-08-17,312.625
2010-08-18,312
2010-08-19,310.549988
2010-08-20,306
2010-08-23,312.5
2010-08-24,313.625
2010-08-25,309
2010-08-26,309
2010-08-27,309.75
2010-08-30,307.25
2010-08-31,305.5
2010-09-01,316
2010-09-02,316.850006
2010-09-03,313.950012
2010-09-06,316.549988
2010-09-07,307.5
2010-09-08,315
2010-09-09,320
2010-09-13,329
2010-09-14,333
2010-09-15,335.5
2010-09-16,338.049988
2010-09-17,340
2010-09-20,343
2010-09-21,345
2010-09-22,343.5
2010-09-23,344
2010-09-24,345.575012
2010-09-27,350
2010-09-28,347.899994
2010-09-29,357.5
2010-09-30,349.375
